transaction_id,amount,currency,date,reference,status,notes
TXN-2026-0020,4999.0,INR,2026-08-02,RPY-SET-100020,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0021,999.0,INR,2026-08-02,RPY-SET-100021,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0022,799.0,INR,2026-08-02,RPY-SET-100022,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0023,9999.0,INR,2026-08-02,RPY-SET-100023,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0024,499.0,INR,2026-08-02,RPY-SET-100024,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0025,1499.0,INR,2026-08-03,RPY-SET-100025,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0026,999.0,INR,2026-08-03,RPY-SET-100026,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0027,2500.0,INR,2026-08-03,RPY-SET-100027,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0028,9999.0,INR,2026-08-03,RPY-SET-100028,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0029,4999.0,INR,2026-08-03,RPY-SET-100029,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0030,2500.0,INR,2026-08-03,RPY-SET-100030,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0031,1499.0,INR,2026-08-03,RPY-SET-100031,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0032,2500.0,INR,2026-08-03,RPY-SET-100032,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0033,9999.5,INR,2026-08-03,RPY-SET-100033,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0034,2500.0,INR,2026-08-03,RPY-SET-100034,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0035,2500.0,INR,2026-08-03,RPY-SET-100035,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0036,4999.0,INR,2026-08-03,RPY-SET-100036,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0037,499.5,INR,2026-08-04,RPY-SET-100037,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0038,799.0,INR,2026-08-04,RPY-SET-100038,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0039,499.0,INR,2026-08-04,RPY-SET-100039,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0040,9999.0,INR,2026-08-04,RPY-SET-100040,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0041,1499.0,INR,2026-08-04,RPY-SET-100041,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0042,1499.5,INR,2026-08-04,RPY-SET-100042,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0043,9999.0,INR,2026-08-04,RPY-SET-100043,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0044,799.0,INR,2026-08-04,RPY-SET-100044,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0045,999.0,INR,2026-08-04,RPY-SET-100045,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0046,4999.0,INR,2026-08-04,RPY-SET-100046,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0047,4999.5,INR,2026-08-04,RPY-SET-100047,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0048,4999.0,INR,2026-08-04,RPY-SET-100048,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0049,2500.5,INR,2026-08-05,RPY-SET-100049,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0050,799.5,INR,2026-08-05,RPY-SET-100050,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0051,4999.0,INR,2026-08-05,RPY-SET-100051,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0052,799.0,INR,2026-08-05,RPY-SET-100052,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0053,1499.0,INR,2026-08-05,RPY-SET-100053,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0054,4999.5,INR,2026-08-05,RPY-SET-100054,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0055,2500.0,INR,2026-08-05,RPY-SET-100055,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0056,4999.0,INR,2026-08-05,RPY-SET-100056,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0057,9999.0,INR,2026-08-05,RPY-SET-100057,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0058,799.0,INR,2026-08-05,RPY-SET-100058,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0059,9999.0,INR,2026-08-05,RPY-SET-100059,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0060,1499.0,INR,2026-08-05,RPY-SET-100060,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0061,499.0,INR,2026-08-06,RPY-SET-100061,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0062,2500.5,INR,2026-08-06,RPY-SET-100062,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0063,999.0,INR,2026-08-06,RPY-SET-100063,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0064,4999.0,INR,2026-08-06,RPY-SET-100064,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0065,1499.5,INR,2026-08-06,RPY-SET-100065,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0066,1499.0,INR,2026-08-06,RPY-SET-100066,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0067,999.0,INR,2026-08-06,RPY-SET-100067,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0068,799.5,INR,2026-08-06,RPY-SET-100068,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0069,2500.5,INR,2026-08-06,RPY-SET-100069,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0070,999.5,INR,2026-08-06,RPY-SET-100070,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0071,2500.0,INR,2026-08-06,RPY-SET-100071,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0072,2500.0,INR,2026-08-06,RPY-SET-100072,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0073,999.0,INR,2026-08-07,RPY-SET-100073,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0074,799.5,INR,2026-08-07,RPY-SET-100074,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0075,1499.0,INR,2026-08-07,RPY-SET-100075,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0076,9999.0,INR,2026-08-07,RPY-SET-100076,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0077,9999.0,INR,2026-08-07,RPY-SET-100077,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0078,799.5,INR,2026-08-07,RPY-SET-100078,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0079,799.5,INR,2026-08-07,RPY-SET-100079,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0080,1499.5,INR,2026-08-07,RPY-SET-100080,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0081,499.0,INR,2026-08-07,RPY-SET-100081,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0082,1499.5,INR,2026-08-07,RPY-SET-100082,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0083,1499.5,INR,2026-08-07,RPY-SET-100083,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0084,999.5,INR,2026-08-07,RPY-SET-100084,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0085,9999.0,INR,2026-08-08,RPY-SET-100085,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0086,5049.5,INR,2026-08-08,RPY-SET-100086,SUCCESS,Settlement amount differs from source
TXN-2026-0087,599.5,INR,2026-08-08,RPY-SET-100087,SUCCESS,Settlement amount differs from source
TXN-2026-0088,2425.0,INR,2026-08-08,RPY-SET-100088,SUCCESS,Settlement amount differs from source
TXN-2026-0089,10249.5,INR,2026-08-08,RPY-SET-100089,SUCCESS,Settlement amount differs from source
TXN-2026-0090,1499.0,INR,2026-08-08,RPY-SET-100090,SUCCESS,Settlement amount differs from source
TXN-2026-0091,999.0,INR,2026-08-10,RPY-SET-100091,SUCCESS,Settlement date differs from source
TXN-2026-0092,799.0,INR,2026-08-10,RPY-SET-100092,SUCCESS,Settlement date differs from source
TXN-2026-0093,499.5,INR,2026-08-10,RPY-SET-100093,SUCCESS,Settlement date differs from source
TXN-2026-0094,4999.0,INR,2026-08-09,RPY-SET-100094,SUCCESS,Expected settlement timing delay
TXN-2026-0095,2500.0,INR,2026-08-09,RPY-SET-100095,SUCCESS,Expected settlement timing delay
TXN-2026-0096,2500.0,INR,2026-08-09,RPY-SET-100096,SUCCESS,Expected settlement timing delay
TXN-2026-0099,2500.5,INR,2026-08-09,RPY-SET-100099,SUCCESS,Synthetic buildathon demo transaction
TXN-2026-0100,799.0,INR,2026-08-09,RPY-SET-100100,SUCCESS,Synthetic buildathon demo transaction
